Aaron R. Stoltzfus,,
AB BRASIL,www.abbrasil.com.br,
Agrícola Santa Marta de Liray S.A,www.asml.cl,
Agroavícola Filippsen Ltda.,www.ovosfilippsen.com.br,
Alderfer’s Poultry,alderfereggs.com,
Alimentation Dynamic (TGV Distribution),www.alimentationdynamic.com/accueil.php,
Almark Foods,www.almarkeggs.com,
Anderson Ranches,www.oregonlamb.com,
Aspen Ridge Natural Beef,www.aspenridgebeef.com,
AVIÁRIO SANTO ANTÔNIO,www.asaeggs.com.br,
Avícola Coliumo,http://huevoscoliumo.cl/,
Avícola Tala,,
Avícola Triple A (Granja Teucalí),www.triplea.co,
Avícola y Comercial El Toco (Cintazul),www.cintazul.cl,
Ayrshire Farm,www.ayrshirefarm.com,
BARILLA DO BRASIL LTDA,www.barilla.com,
"Belcampo Farm, LLC",www.belcampoinc.com,
Bently Ranch,bentlyranch.com,
Benton County Foods,,
"Beretta Farms, LLC",berettafarms.com,
Bitterroot Bison,www.bitterrootbison.com,
Black Mesa Ranch,www.blackmesaranch.com,
"Blue Goose Foods, Ltd.",www.bluegoosefoods.com,
Boeckner Enterprises,,
Born Free Eggs,bornfreeeggs.com,
Boss Dog,bossdogbrand.com/current-locations,
Brave Colt Goat Dairy,,
BRF Brasil Foods,www.brf-global.com,
Brian Weaver Farm,,
Broad Brook Acres,sites.google.com/site/broadbrookacres1,
Burger Maker,www.burgermaker.com,
Cal-Maine Foods,www.calmainefoods.com,
Campos de Olmué – El Porvenir SpA,facebook.com/camposdeolmue,
Cannon Hill Farm,www.Shenandoahgrown.com/cannonhill,
Casa Loma Ranch,,
Cashton Farm Supply,www.cfspecial.com,
Cassie Petherbridge,,
Central Market by HEB,www.heb.com/centralmarket-mch,
Champion S.A. (Avícola Andina SpA and La Granja S.A.),,
Chew´s Agriculture,www.chewsegg.com,
Chomps,chomps.com,
Circle B Ranch,www.circlebranchpork.com,
"CMC Food, Inc.",http://cmcfood.com,
Collett Farms,,
"Colorado Egg, LLC",coloradoeggllc.com,
COLUN – COOP. AGRÍCOLA Y LECHERA DE LA UNIÓN LIMITADA.,www.colun.cl,
Cooks Venture Poultry,cooksventure.com,
"Cooper Farms, Inc.",www.cooperfarms.com,
Country Fresh Eggs,,
Cranswick PLC,cranswick.plc.uk,
"Creekstone Farms Premium Beef, LLC",www.creekstonefarms.com,
"D’Artagnan, LLC",www.dartagnan.com,
"Dakota Cage Free, LLC",,
Dalehead Foods,www.dalehead.co.uk,
Deb El Food Products,www.debelfoods.com/,
Deep Run Farm,,
"Demler Brothers, LLC/Pine Hill Egg Ranch",,
Demler Egg Ranch,,
Demler Enterprises,,
"Dole and Bailey, Inc.",www.doleandbailey.com,
DOMINÓ,www.domino.cl,
Drake Family Farms,www.drakefamilyfarms.com/california_home,
duBreton (Les Viandes duBreton/Les Spécialités Prodal),www.dubreton.com,
Dutch Country Organics,,
"Dutchland Farms, LLC",www.wengerfeeds.com,
Echo Farm Puddings,www.echofarmpuddings.com,
Ecoterra Eggs (Chile),ecoterra.cl/en/,
Egg Innovations,http://www.egginnovations.com,
"Eggology Foods, LLC",pearlvalleyfarms.com/brands/our-brands/retail-brands/eggology,
"Ellsworth Foods, Inc.",www.ellsworthfoods.com,
Fairfield Specialty Eggs,,
Farmers Hen House,www.farmershenhouse.com,
Fassio Egg Farms,www.fassioeggfarms.com,
Fazenda da Toca,http://fazendadatoca.com.br/,
Firefly Farms,www.firefly.farm,
First Light Wagyu New Zealand,www.firstlight.farm/where-to-buy/,
Fra’Mani,framani.com,
"Fred Usinger, Inc.",www.usinger.com,
GallinaRoja,www.gallinaroja.cl,
Gemperle Farms,gemperle.com/contact,
Giannone Poultry,http://www.giannonepoultry.com/index.html,
Giving Nature Foods,www.givingnaturefoods.com,
Glaum Egg Ranch,www.glaumeggranch.com,
Godshall’s Quality Meats,godshalls.com,
Granite Ridge Farm,,
Granja Avícola Arizona,www.arizona.cl,
Granja Don Cosme,granjadoncosme.com/,
Granja Faria/Palhoça-SC,,
Granja Refen – Top Eggs,www.facebook.com/TOPEGGS,
Grazing Fields Cooperative,grazingfields.org,
Great American Foods,www.great-american-foods.com,
Green Valley Organics,www.greenvalleylactosefree.com,
Greenham Tasmania,www.greenham.com.au/smithton,
Gryphon Ranch,https://gryphonranch.com/index,
Hammerich Goat Dairy,,
Happy Hens,http://happy-hens.com/,
Happy Valley Meat Company,HappyValleyMeats.com,
The Country Egg,,
The Country Hen,www.countryhen.com,
The Great American Turkey Company,greatamericanturkeyco.com/shop,
Hart Dairy,www.hartdairy.com/,
Harvest Farms Organic,ingles-markets.com/,
Hawaii Lowline Cattle Company,http://hawaiilowlinecattlecompany.com/,
"Henningsen Foods, Inc.",www.henningsenfoods.com,
Henry Farm,,
Herbruck’s Poultry Farm,www.herbrucks.com,
Heritage Foods USA,www.heritagefoodsusa.com,
Heritage Poultry Management Services,,
Hidden Villa Ranch/NestFresh,www.hiddenvilla.com,
Hilda Echeverría Neve - Hilly’s Farm,www.hillysfarm.com,
"Hillandale Farms Conn, LLC",,
Hillandale Farms East DBA Nearby Eggs,,
"Hillandale Farms Ohio, LLC",,
"Hillandale Gettysburg, L.P.",,
Hillside Organics,,
Hollandia Dairy,www.hollandiadairy.com,
Holy Cow Grass Fed Beef,www.holycowgrassfed.com,
Home Place Pastures,homeplacepastures.com,
Honey Sweetie Acres,www.honeysweetieacres.com,
Hoover Ranch,www.hooverranch.com,
Hudson Valley Chicken,,
Huevos Colbún,www.huevoscolbun.cl/,
Hunter’s Head Tavern,www.huntersheadtavern.com,
Huvos La Maria (Inv. Cardona Rios SAS),,
Idyll Farms Goat Farm and Creamery,https://idyllfarms.com/,
Imperfect Foods,imperfectfoods.com,
INNOVO S.A.,www.innovocr.com,
Inversiones Agrícolas Reumen / Huevos Cocó,,
J&B Distributing,jbgroup.com,
Jensen Meat Company,www.jensenmeat.com,
John F. Martin & Sons,www.johnfmartinmeats.com,
JRC INDUSTRIAS ALIMENTARIAS,https://gallinaslibres.pe/,
Kalmbach Poultry,www.kalmbachfeeds.com,
Karro Food Ltd. (Pigs),www.karro.co.uk/contact-us,
Kehrli Farms,,
Knee Deep Cattle Company,www.kneedeepcattlecompany.com,
Koch’s Turkey Farm,www.kochsturkey.com,
"Konos, Inc. (A Distributor of VandeBunte Eggs)",vandebunteeggs.com,
Korin Agropecuária LTDA.,www.korin.com.br/,
Kreher's Farm Fresh Eggs,krehereggs.com/eggs,
"La Calera, S.A.C. Chincha, Peru",,
Lamar Zimmerman Farm,,
Lathem Farms Inc.,www.landrfarmsinc.com,
Latremore's Pine Ridge Farm,,
Laura Lynn,ingles-markets.com/,
Ledyard High School,www.ledyard.net,
Le-Fort’s Organic Crops,,
"LH Poultry, LLC",,
Liang Kee Farming,https://www.lkfreshegg.com/,
Lone Pine Colony,lpfarmfreshchicken.ca,
Longhini's Sausage Company/House of Bricks,longhinisausage.com,
Ludwig Farmstead Creamery,ludwigfarmsteadcreamery.com,
Mantiqueira Alimentos,www.ovosmantiqueira.com.br,
Maple Leaf Foods,https://www.mapleleaffoods.com,
Martin’s Quality Eggs,www.martinseggs.com,
MeatMe Pet Food,www.meatmepetfood.com/collections,
Meyer Natural Angus/Meyer Natural Foods,www.meyernaturalfoods.com,
Mid-States Specialty Eggs,,
Miller Farm,,
Morning Fresh Farms,www.morningfresh.com,
Murray’s Chicken,www.murrayschicken.com,
National Food Corporation,www.natlfood.com,
National Pasteurized Eggs,http://www.safeeggs.com/National-Pasteurized-Eggs.html,
Natural Family Farms,https://naturalfamilyfarms.com/,
Nature’s Farm,naturesfarm.ca,
Nature’s Yoke,www.naturesyoke.com,
Nellie’s Free Range Eggs,www.nelliesfreerange.com,
Nelson Noboru Yabuta e outros - Granja Jateí,,
Netto Alimentos,http://www.nettoalimentos.com.br,
Newman Farm,newmanfarm.com,
Niman Ranch,https://www.nimanranch.com,
North Country Smokehouse,www.ncsmokehouse.com,
North Fork Fields,www.northforkfields.com,
North Star Farm,,
NuCal Foods,www.nucalfoods.com,
Oakdell Egg Farms,www.oakdell.com,
Oath Craft Pizza,oathpizza.com,
Olivera Egg Ranch,,
Opal Foods,www.opal-foods.com,
"Open Farm, Inc. (Canada Pooch)",www.openfarmpet.com,
Open Space Meats,,
Orella Dairy,,
Organic Pasture Farms,eggsyolked.com,
Organic Pastures Dairy,www.organicpastures.com,
Organic Valley,organicvalley.coop/store-locator,
OrgaNick Pastures,,
Our Family,www.ourfamilyfoods.com/,
Ovobrand S.A.,www.ovobrand.com,
Ozark Mountain Eggs,ozarkmountaineggs.com,
PARAJE IDEAL S.A,,
"Pearl Valley Farms, Inc. DBA Pearl Valley Eggs",www.pearlvalleyeggs.com,
Pearl Valley Specialty Egg Products,https://www.pearlvalleyeggs.com/,
Peckish,perfectlypeckish.com,
Pederson’s Natural Farms,www.pedersonsfarms.com,
Peer Foods (Mariah),peerfoods.com,
Petaluma Farms,www.judysfarm.com,
Pete & Gerry’s Organic Eggs,www.peteandgerrys.com,
Phil’s Fresh Eggs,www.philsfresheggs.com,
Planalto Ovos,,
Pleasant Valley Farms,www.dendulkpoultry.com,
Plymouth Beef Company,www.plymouthbeef.com,
Pound Ridge Organics,PoundRidgeOrganics.com,
Prather Ranch,www.pratherranch.com,
Premier Meats,premiermeatcompany.com/shop,
Productora Huevos de Campo Ltda. – Gallina Feliz,www.gallinafeliz.cl,
Puglisi Egg Farm Organic,,
R&L Farms,,
Rainbow Farms,https://www.facebook.com/pages/Rainbow-Farms-Egg-Sales,
Rancho Dos Aguas,ranchodosaguas.mx/,
Red Barn Berkshires,redbarnberkshires.com/index.html,
Red Hill Foods,,
Redwood Hill Farm,www.redwoodhill.com,
Rembrandt Foods,www.rembrandtfoods.com,
Rigtrup Egg Farm,,
Rizoma Agricultura Regenerativa S.A. – Fazenda Takaoka,,
"Rock Hill Foods, LLC",,
RoliRoti,roliroti.com,
"Rose Acre Farms, Inc.",www.goodegg.com,
Rossdown Natural Foods,www.rossdown.com,
Rozendo Vicente Teixeira - Granja São Marcos,,
"R.W. Sauder, Inc (Sauder's Quality Eggs)",www.saudereggs.com,
S&R Egg Ranch,,
Salmon Kill Farm,,
Sandy Ridge Farm,,
Santa Monica Alimentos,www.ovossantamonica.com.br,
Schipper Eggs,schippereggs.com,
Seara Alimentos Ltda. - Brazil,seara.com.br/campanha/frango-seara-dagranja,
Sensenig Turkey Farm,,
Shelburne Farms,www.shelburnefarms.org,
Shenandoah Valley Organic,www.svorganic.com,
Shepherd's Processed Eggs,shepherdeggs.com/contact-shepherd-eggs/,
Sierra Organics,,
Siete Hermanos SRL – Granja Santa Monica,,
Sir Kensington,sirkensingtons.com,
Skagit River Ranch,www.skagitriverranch.com,
Skylane Farms,,
South Mountain Creamery/Sower’s Poultry,www.southmountaincreamery.com,
"Sparboe Foods, Inc.",www.sparboe.com,
StarWalker Organic Farms,starwalkerorganicfarms.com/new-products,
"Stiebrs Farms, Inc",www.stiebrsfarms.com,
Summerhill Goat Dairy,www.summerhilldairy.com,
"Sunrise Acres, Inc.",www.sunriseacresmi.com,
"Sunrise Farms, LLC",www.facebook.com/Sunrise-Farms-LLC,
"Sunrise Poultry Processors, Ltd. (Canada)",www.sunrisefarms.ca,
Sure Fresh Foods (Cericola Farms),https://cericola.com,
Surfing Goat Dairy,www.surfinggoatdairy.com,
Sweet Red Hen,,
Tamam Foods (International Poultry Company - Jordan),tamamfood.com,
Tecnovo S.A.,tecnovo.com.ar,
Tecumseh Farms – Free Range Organic Smart Chicken,www.smartchicken.com,
Teton Waters Ranch,www.tetonwatersranch.com,
Thrive Market,thrivemarket.com,
Toh Thye San Farm,www.oeo.com.sg,
Two Good Sons DBA American Farmers Network,americanfarmersnetwork.com/beef,
Two Rock Natural Pastures,http://pasturefresh.net/egg_farms.html,
U&V AGRO PRIVATE LIMITED – FARM MADE,farmmadefoods.com,
Vital Farms,www.vitalfarms.com,
Westfield Egg Farm,www.naturesyoke.com,
White Oak Pastures,www.whiteoakpastures.com,
Whole30,whole30.com/whole30-approved/,
Wilcox Farmily Farms,www.wilcoxfarms.com,
Winchester Egg Farms,,
Wind Crest Farm,,
