ACONAV,"Fashion, Jewelry, Accessories",http://www.aconav.com/
Ah Shí,"Beauty, Skincare, Health",https://www.ahshibeauty.com/
Ahlazua,"Fashion, Jewelry, Accessories",http://www.indigenouswomanmade.com/
Angela DeMontigny,"Fashion, Jewelry, Accessories",http://www.angelademontigny.com/
Arctic Canada Trading Company,"Decor, Art",http://www.arcticcanadatrading.com/
ArXotica,"Beauty, Skincare, Health",https://squareup.com/market/arxotica-inc/
B.Yellowtail,"Fashion, Jewelry, Accessories",http://www.byellowtail.com/
Bedré Chocolate,"Food, Beverage",http://www.bedrechocolates.com/
Beyond Buckskin Boutique,"Fashion, Jewelry, Accessories",http://shop.beyondbuckskin.com/
Birchbark Books,Media,http://birchbarkbooks.com/
Bison Star Naturals,"Beauty, Skincare, Health",https://bisonstarnaturals.com/
Blended Girl Cosmetics,"Beauty, Skincare, Health",https://blendedgirl.com/
Cetanska,"Fashion, Jewelry, Accessories",https://www.cetanska.com/
Cheekbone Beauty,"Beauty, Skincare, Health",https://cheekbonebeauty.ca/
Cherokee Nation Gift Shop,"Decor, Art",http://www.cherokeegiftshop.com/
Cherokee Woman,"Decor, Art",http://www.cherokee-woman.com/
Chickasaw Press,Media,https://chickasawpress.com/
Chippewar,"Fashion, Jewelry, Accessories",https://chippewar.com/
Clan Mother,"Fashion, Jewelry, Accessories",https://www.clan-mother.com/
Creations for Coninuity,"Fashion, Jewelry, Accessories",http://creationsforcontinuity.com/
Dorothy Grant,"Fashion, Jewelry, Accessories",http://www.dorothygrant.com/
Edzerza Gallery,"Fashion, Jewelry, Accessories",http://www.edzerzagallery.com/
Eighth Generation,"Fashion, Jewelry, Accessories",http://eighthgeneration.com/collections/all
Esawa Gifts and Gallery,"Decor, Art",http://www.esawagiftgallery.com/
Etkie,"Fashion, Jewelry, Accessories",https://etkie.com/
First American Art Magazine,Media,http://firstamericanartmagazine.com/
Ginew,"Fashion, Jewelry, Accessories",https://ginewusa.com/
Gourd Jewels,"Fashion, Jewelry, Accessories",http://www.gourdjewels.com/
Great Oak Press,Media,http://greatoakpress.com/
Haipažaža Pȟežuta,"Beauty, Skincare, Health",https://www.haipazazaphezuta.com/shop
Hand of Solomon,"Fashion, Jewelry, Accessories",http://www.handofsolomon.ca/
Heard Museum Shop,"Decor, Art",http://www.heardmuseumshop.com/
Herbal Lodge,"Beauty, Skincare, Health",http://www.herballodge.com/
I Am Anishinaabe,"Fashion, Jewelry, Accessories",https://www.iamanishinaabe.com/
Indi City,"Fashion, Jewelry, Accessories",https://www.indicity.ca/
Indigenous Cosmetics,"Beauty, Skincare, Health",https://www.indigecos.com/
Indigo Arrows,"Decor, Art",https://indigoarrows.ca/
Intertribal Beauty Cosmetics,"Beauty, Skincare, Health",https://intertribalbeauty.com/
Jamie Okuma,"Fashion, Jewelry, Accessories",http://www.jokuma.com/
Kitá Wines,"Food, Beverage",https://kitawines.com/
Kristen Dorsey Designs,"Fashion, Jewelry, Accessories",http://www.kristendorseydesigns.com/
Lauren Good Day,"Fashion, Jewelry, Accessories",http://laurengoodday.com/
Mad Aunty,"Fashion, Jewelry, Accessories",https://mad-aunty.com/
Manitobah Mukluks,"Fashion, Jewelry, Accessories",http://www.manitobah.ca/
Michelle Brown,"Fashion, Jewelry, Accessories",http://michellebrownwear.com/
MiLo Creations,"Fashion, Jewelry, Accessories",http://www.milocreations.net/
Morning Light Kombucha,"Food, Beverage",http://morninglightkombucha.square.site/
Mother Earth Essentials,"Beauty, Skincare, Health",http://www.motherearthessentials.ca/
Nani Chacon Art,"Decor, Art",https://squareup.com/market/nani-chacon-art
NATE,"Fashion, Jewelry, Accessories",http://www.wearenate.com/
Native Brews,"Food, Beverage",http://native-brews.com/
Native Harvest,"Decor, Art",https://nativeharvest.com/collections
Native Realities,Media,https://www.nativerealities.com/
Native Threads,"Fashion, Jewelry, Accessories",https://www.nativethreads.com/
Neechie Gear,"Fashion, Jewelry, Accessories",http://www.neechiegear.com/collections/products
Niio Perkins Designs,"Fashion, Jewelry, Accessories",https://www.niioperkins.com/
Nishiin Designs,"Fashion, Jewelry, Accessories",https://www.nishiin.ca/
Nishology,"Fashion, Jewelry, Accessories",http://www.nishology.com/
Nizhoni Soaps,"Beauty, Skincare, Health",https://www.nizhonisoaps.com/
Northwest Native Expressions,"Decor, Art",http://stores.northwestnativeexpressions.com/
NSRGNTS,"Fashion, Jewelry, Accessories",http://nsrgnts.com/
O-Gap-Pah Coffee,"Food, Beverage",https://shop.ogahpahcoffee.com/
Off the Rez,"Food, Beverage",https://www.offthereztruck.com/
OxDx,"Fashion, Jewelry, Accessories",https://www.oxdxclothing.com/
Planet Alaska,"Decor, Art",https://planetalaskastore.com/
Prados,Cosmetics,https://www.pradosbeauty.com/
Quwutsun Made,Apparel,https://www.bonfire.com/store/quwutsun-made/
Qwalsius,"Decor, Art",http://www.qwalsius.com/
RPM.FM,Media,http://rpm.fm/artists/
Saba Wear,"Fashion, Jewelry, Accessories",http://www.sabahut.com/
Sakari Botanicals,"Beauty, Skincare, Health",http://sakaribotanicals.weebly.com/
Salish Style,"Fashion, Jewelry, Accessories",http://www.salishstyle.com/
Sarah Agaton Howes,"Decor, Art",http://heartberry.com/
Séka Hills,"Food, Beverage",http://www.sekahills.com/
She Native,"Fashion, Jewelry, Accessories",http://www.shenative.com/
Sheridan MacKnight,"Decor, Art",http://sheridanmacknight.net/
Shimá,"Beauty, Skincare, Health",http://shimaofnavajoland.com/
Sister Sky,"Beauty, Skincare, Health",http://www.sistersky.com/
Skwálwen,"Beauty, Skincare, Health",https://skwalwen.com/
Skwalwen Botanicals,Home Goods,https://skwalwen.com/collections/all
Soul Curiosity,"Fashion, Jewelry, Accessories",https://www.mysoulcuriosity.com/
Spotted Horse Coffees,"Food, Beverage",https://www.winonaladuke.com/coffeeshop
Squamish Lil’wat Cultural Centre Online Store,"Decor, Art",http://shop.slcc.ca/
Tammy Beauvais,"Fashion, Jewelry, Accessories",http://www.tammybeauvais.com/
Tan’si Clothing,"Fashion, Jewelry, Accessories",http://www.tansiclothing.com/
Tanka Bar,"Food, Beverage",http://www.tankabar.com/
Tashina Lee Emery,"Fashion, Jewelry, Accessories",http://www.tashinaemery.com/
The NTVS,"Fashion, Jewelry, Accessories",http://www.thentvs.com/
Tlicho Store,"Decor, Art",http://www.tlicho.ca/tlicho-onlinestore
TP Mocs,"Fashion, Jewelry, Accessories",http://www.tpmocs.com/
Trickster Co.,"Fashion, Jewelry, Accessories",http://trickstercompany.com/
TSOul,"Fashion, Jewelry, Accessories",http://peacelovetsoul.bigcartel.com/
Tundra Berry,"Fashion, Jewelry, Accessories",http://tundraberry.com/
Two Dogs And A Bear,"Decor, Art",http://www.twodogsandabear.com/
Urban Native Era,"Fashion, Jewelry, Accessories",http://www.urbannativeera.com/
Virgil Ortiz,"Fashion, Jewelry, Accessories",http://www.virgilortiz.com/
Wuunagwa,Apparel,https://wuunagwa.com/